Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
1.006723589,0.1%,-1.0%,35,6.1%,20.7%,13,30.0%,8.3%,8,-1,-25.5,$406K,5.5%,29.0%,38,22.6%,153.3%,8/31/2013,Single Family Residential,"Seattle, WA - Columbia City"
1.019260590,-0.6%,1.0%,18,-37.9%,5.9%,6,20.0%,-40.0%,6.5,0.5,-2.5,$428K,11.2%,23.7%,26,-3.7%,85.7%,8/31/2013,Single Family Residential,"Seattle, WA - Crown Hill"
1.005780938,-0.6%,1.0%,119,2.6%,29.3%,89,4.7%,15.6%,16,2,-15,$290K,-3.7%,20.3%,139,-0.7%,40.4%,8/31/2013,Single Family Residential,"Seattle, WA - Delridge"
1,0.0%,5.7%,1,0.0%,0.0%,,,,4,0,-26,$429K,0.0%,30.0%,,,,8/31/2013,Single Family Residential,"Seattle, WA - Downtown Seattle"
0.922324703,-3.7%,-48.9%,1,0.0%,0.0%,2,100.0%,0.0%,34,-6,22,$415K,-68.0%,-34.6%,3,50.0%,0.0%,8/31/2013,Single Family Residential,"Seattle, WA - Eastlake"
1.003421759,1.1%,3.7%,29,-23.7%,0.0%,22,-8.3%,10.0%,7,0,-19.5,$480K,-5.1%,-4.4%,39,-9.3%,5.4%,8/31/2013,Single Family Residential,"Seattle, WA - Fauntleroy"
1.020635018,-1.1%,1.3%,21,-27.6%,31.3%,7,0.0%,-30.0%,8,1,1.5,$562K,1.3%,14.3%,16,-30.4%,6.7%,8/31/2013,Single Family Residential,"Seattle, WA - Fremont"
1.017083526,-1.1%,1.4%,42,0.0%,27.3%,14,-22.2%,180.0%,8,0.5,1,$645K,-1.4%,35.8%,43,-10.4%,48.3%,8/31/2013,Single Family Residential,"Seattle, WA - Green Lake"
1.025367707,0.1%,2.2%,83,9.2%,76.6%,17,30.8%,-50.0%,7,0,-4,$422K,4.2%,-0.7%,85,-13.3%,30.8%,8/31/2013,Single Family Residential,"Seattle, WA - Greenwood"
1.005543488,0.4%,1.5%,30,3.4%,25.0%,18,-5.3%,80.0%,8.5,-0.5,-15.5,$356K,3.1%,2.0%,36,-7.7%,28.6%,8/31/2013,Single Family Residential,"Seattle, WA - Haller Lake"
1.031401481,0.2%,3.9%,107,-9.3%,11.5%,54,14.9%,31.7%,7,0,-5,$405K,1.3%,4.8%,112,-10.4%,20.4%,8/31/2013,Single Family Residential,"Seattle, WA - Lake City"
0.989482593,-0.9%,0.4%,27,-3.6%,12.5%,28,0.0%,27.3%,8,-1.5,-17,$652K,-10.0%,2.0%,35,-10.3%,20.7%,8/31/2013,Single Family Residential,"Seattle, WA - Leschi"
1.016618980,7.0%,-5.9%,3,50.0%,200.0%,2,0.0%,-60.0%,62,-0.5,55,"$1,000K",-35.9%,132.6%,3,50.0%,-25.0%,8/31/2013,Single Family Residential,"Seattle, WA - Lower Queen Anne"
0.977133452,-0.4%,1.3%,34,9.7%,161.5%,18,-10.0%,-47.1%,51,35,28,"$1,260K",-6.7%,14.0%,25,-16.7%,38.9%,8/31/2013,Single Family Residential,"Seattle, WA - Madison Park"
1.035420261,0.6%,4.3%,17,-19.0%,13.3%,6,-33.3%,-60.0%,7,0,-16,$608K,-6.7%,-6.5%,17,-22.7%,0.0%,8/31/2013,Single Family Residential,"Seattle, WA - Madrona"
1.007532404,-1.0%,0.7%,88,-13.7%,8.6%,50,13.6%,-24.2%,10,2,2,$697K,-0.4%,23.8%,110,6.8%,25.0%,8/31/2013,Single Family Residential,"Seattle, WA - Magnolia"
1.013917491,-1.2%,0.7%,40,8.1%,37.9%,11,-38.9%,57.1%,9,1,3,$443K,-0.6%,6.5%,50,0.0%,100.0%,8/31/2013,Single Family Residential,"Seattle, WA - Maple Leaf"
1.034359415,-0.6%,4.3%,31,6.9%,-6.1%,14,-30.0%,0.0%,8,0,-3.5,$400K,-14.3%,-24.1%,38,-11.6%,18.8%,8/31/2013,Single Family Residential,"Seattle, WA - Matthews Beach"
1.080419879,3.1%,7.4%,16,-5.9%,60.0%,7,40.0%,40.0%,6,0,-2,$458K,1.6%,0.6%,18,-10.0%,38.5%,8/31/2013,Single Family Residential,"Seattle, WA - Meadowbrook"
1.025350708,0.2%,0.3%,33,-13.2%,43.5%,14,7.7%,133.3%,11,-0.5,3.5,$715K,-0.7%,5.9%,28,-22.2%,33.3%,8/31/2013,Single Family Residential,"Seattle, WA - Montlake"
1.000066110,-0.9%,0.4%,43,4.9%,43.3%,16,-11.1%,-33.3%,18.5,3.5,-9,$555K,-0.9%,16.0%,35,-27.1%,12.9%,8/31/2013,Single Family Residential,"Seattle, WA - Mount Baker"
1.024216880,0.3%,2.4%,43,-21.8%,0.0%,34,25.9%,41.7%,16,8,5,$458K,-12.1%,-1.5%,58,1.8%,34.9%,8/31/2013,Single Family Residential,"Seattle, WA - North Admiral"
1.022711891,1.1%,2.0%,87,-4.4%,17.6%,60,53.8%,-20.0%,8,0,-17,$343K,7.3%,27.1%,111,11.0%,26.1%,8/31/2013,Single Family Residential,"Seattle, WA - Beacon Hill"
1.007588392,-0.9%,0.7%,104,16.9%,40.5%,50,-7.4%,56.3%,9,0,-2,$402K,-1.0%,12.0%,130,0.0%,44.4%,8/31/2013,Single Family Residential,"Seattle, WA - Northgate"
1.017147058,-0.4%,2.7%,30,-11.8%,30.4%,13,44.4%,18.2%,8,0.5,-3,$350K,4.9%,22.8%,24,-14.3%,-11.1%,8/31/2013,Single Family Residential,"Seattle, WA - Olympic Hills"
1.009728473,-0.2%,0.8%,15,114.3%,50.0%,14,40.0%,180.0%,9,1,-8.5,$363K,34.0%,16.0%,26,4.0%,52.9%,8/31/2013,Single Family Residential,"Seattle, WA - Pinehurst"
1.018022002,0.4%,3.6%,76,-2.6%,8.6%,33,-17.5%,-21.4%,7,-1,-2,$764K,5.3%,14.9%,88,1.1%,33.3%,8/31/2013,Single Family Residential,"Seattle, WA - Queen Anne"
1.017202549,0.7%,2.0%,208,6.7%,30.8%,149,0.0%,-0.7%,12,2,-20,$338K,4.6%,20.5%,249,-6.0%,49.1%,8/31/2013,Single Family Residential,"Seattle, WA - Rainier Valley"
1.045747539,-1.4%,4.0%,43,4.9%,22.9%,14,-22.2%,-17.6%,8,1,0,$575K,0.0%,27.1%,55,-6.8%,22.2%,8/31/2013,Single Family Residential,"Seattle, WA - Ravenna"
1.009950970,-1.6%,0.5%,18,20.0%,-25.0%,6,0.0%,-64.7%,8,-1,1,$510K,5.2%,7.4%,18,-14.3%,-47.1%,8/31/2013,Single Family Residential,"Seattle, WA - Roosevelt"
0.984730437,-1.2%,0.9%,7,16.7%,-12.5%,9,80.0%,-25.0%,14,2.5,-15.5,$204K,-2.6%,34.7%,10,25.0%,11.1%,8/31/2013,Single Family Residential,"Seattle, WA - South Park"
1.041504271,-0.3%,4.2%,16,-20.0%,60.0%,7,-12.5%,-30.0%,8,0.5,-11.5,$648K,11.7%,28.1%,10,-33.3%,-33.3%,8/31/2013,Single Family Residential,"Seattle, WA - University District"
1.019281172,-0.9%,3.4%,16,-20.0%,0.0%,8,33.3%,33.3%,7,0,-18.5,$423K,12.2%,28.3%,15,-6.3%,50.0%,8/31/2013,Single Family Residential,"Seattle, WA - Victory Heights"
1.029556138,0.0%,4.5%,20,-4.8%,-20.0%,8,60.0%,-20.0%,7.5,0.5,-6.5,$803K,5.6%,17.2%,22,0.0%,15.8%,8/31/2013,Single Family Residential,"Seattle, WA - View Ridge"
1.029806079,-1.4%,1.8%,62,-16.2%,8.8%,15,-21.1%,200.0%,8,0.5,0,$642K,4.5%,19.9%,61,-17.6%,22.0%,8/31/2013,Single Family Residential,"Seattle, WA - Wallingford"
1.056377141,-1.0%,5.8%,33,10.0%,65.0%,5,66.7%,-16.7%,8,1,1,$525K,3.2%,15.4%,24,-11.1%,0.0%,8/31/2013,Single Family Residential,"Seattle, WA - Wedgwood"
1.005733642,-0.4%,1.4%,358,-4.0%,5.3%,258,9.3%,9.3%,13,3,-3,$387K,-4.4%,9.2%,439,-2.2%,21.6%,8/31/2013,Single Family Residential,"Seattle, WA - West Seattle"
1.042949509,1.0%,6.0%,20,17.6%,17.6%,6,-14.3%,20.0%,8,0,-6,$850K,-10.1%,-20.6%,16,-11.1%,23.1%,8/31/2013,Single Family Residential,"Seattle, WA - Windermere"
0.950297446,-0.7%,3.6%,10,-23.1%,66.7%,13,-13.3%,30.0%,60,-31,-75,"$1,956K",26.2%,39.7%,11,-31.3%,120.0%,8/31/2013,Single Family Residential,"Seattle, WA - Denny Blaine"
1.038327188,-1.0%,2.5%,53,6.0%,29.3%,13,8.3%,116.7%,7,0,0,$572K,-1.8%,7.4%,47,-16.1%,20.5%,8/31/2013,Single Family Residential,"Seattle, WA - Phinney Ridge"
1.027786048,0.1%,2.5%,42,31.3%,75.0%,10,-23.1%,25.0%,7,0,-12.5,$544K,6.0%,13.9%,42,-20.8%,82.6%,8/31/2013,Single Family Residential,"Seattle, WA - Central District"
1.019745885,-0.1%,3.5%,18,5.9%,28.6%,7,16.7%,133.3%,7,0,-21.5,$796K,-3.7%,65.5%,21,-8.7%,90.9%,8/31/2013,Single Family Residential,"Seattle, WA - Madison Valley"
1.000096668,0.3%,2.5%,32,6.7%,39.1%,19,18.8%,11.8%,10.5,-0.5,0.5,$953K,-6.4%,13.1%,23,-30.3%,-20.7%,8/31/2013,Single Family Residential,"Seattle, WA - Capitol Hill"
0.980487909,3.3%,1.5%,11,0.0%,-8.3%,16,100.0%,0.0%,12,-9,-37,$281K,24.9%,22.2%,22,69.2%,57.1%,8/31/2013,Single Family Residential,"Seattle, WA - South Beacon Hill"
0.966329924,1.1%,-2.1%,9,12.5%,80.0%,4,0.0%,-50.0%,45,-24.5,14,$290K,12.6%,9.4%,7,0.0%,-12.5%,8/31/2013,Single Family Residential,"Seattle, WA - Greater Duwamish"
0.951657777,-0.5%,-0.4%,1260,-34.7%,2.4%,10698,1.3%,4.1%,136,17,10,$323K,-0.8%,-2.3%,2101,88.4%,23.2%,1/31/2012,Single Family Residential,"Boston, MA metro area"
0.941186589,0.2%,0.3%,3437,-11.8%,16.5%,29637,0.3%,-10.6%,118,-3,-6,$155K,-3.9%,-13.9%,5369,54.5%,-2.4%,1/31/2012,Single Family Residential,"Chicago, IL metro area"
0.977093417,0.1%,-0.5%,3631,-22.4%,0.1%,17474,0.5%,-16.5%,64,0,-2,$304K,-5.2%,-3.7%,5862,50.2%,-9.7%,1/31/2012,Single Family Residential,"Los Angeles, CA metro area"
0.928408935,-1.7%,-2.2%,342,-25.2%,5.2%,3782,11.7%,98.3%,131,5,13,$184K,-5.8%,-5.3%,792,96.0%,94.6%,1/31/2012,Single Family Residential,"Philadelphia, PA metro area"
0.975401531,-0.3%,0.6%,1436,-30.1%,15.3%,7535,-5.6%,-26.4%,66,-1,-24,$280K,-1.8%,-9.7%,2074,49.2%,-14.3%,1/31/2012,Single Family Residential,"Seattle, WA metro area"
0.971570362,0.0%,-0.1%,2350,-16.6%,0.3%,11171,-4.2%,-17.3%,74,4,3,$325K,-4.9%,4.8%,3313,56.6%,-2.4%,1/31/2012,Single Family Residential,"Washington, DC metro area"
0.967445704,-0.5%,0.7%,289,-24.9%,26.8%,1164,-6.3%,-26.7%,51,-5,-24,$345K,0.4%,-10.0%,383,59.6%,-11.8%,1/31/2012,Single Family Residential,"Seattle, WA"
0.950823776,-0.1%,-0.1%,1309,3.9%,37.1%,11652,8.9%,9.9%,143,7,-2,$303K,-6.1%,-2.3%,2811,33.8%,49.8%,2/29/2012,Single Family Residential,"Boston, MA metro area"
0.940421778,-0.1%,-0.5%,2804,-18.4%,23.5%,30808,4.0%,-9.2%,131,13,10,$148K,-4.5%,-7.5%,6487,20.8%,16.2%,2/29/2012,Single Family Residential,"Chicago, IL metro area"
0.977466414,0.0%,-0.3%,3797,4.6%,13.2%,16827,-3.7%,-20.4%,65,1,-7,$310K,2.1%,-5.5%,5819,-0.7%,-5.7%,2/29/2012,Single Family Residential,"Los Angeles, CA metro area"
0.930065396,0.2%,-0.7%,299,-12.6%,0.7%,4074,7.7%,96.0%,132,1,3,$180K,-2.0%,-4.3%,926,16.9%,103.5%,2/29/2012,Single Family Residential,"Philadelphia, PA metro area"
0.978003019,0.3%,0.8%,1739,21.1%,27.2%,7161,-5.0%,-30.3%,73,7,-16,$288K,2.9%,-5.6%,2584,24.6%,-4.2%,2/29/2012,Single Family Residential,"Seattle, WA metro area"
0.974216222,0.3%,-0.1%,2251,-4.2%,3.0%,11344,1.5%,-17.3%,78,4,1,$320K,-1.5%,0.0%,4026,21.5%,5.9%,2/29/2012,Single Family Residential,"Washington, DC metro area"
0.972224967,0.5%,0.6%,327,13.1%,31.9%,1125,-3.4%,-29.1%,55,4,-20,$355K,2.9%,-1.4%,487,27.2%,-5.6%,2/29/2012,Single Family Residential,"Seattle, WA"
0.959006283,0.8%,0.5%,1719,31.3%,19.7%,13583,16.6%,8.4%,146,3,-3,$323K,6.5%,-0.8%,4319,53.6%,6.7%,3/31/2012,Single Family Residential,"Boston, MA metro area"
0.944891495,0.4%,0.2%,3790,35.2%,10.6%,32233,4.6%,-9.0%,135,4,8,$155K,4.7%,-6.1%,8027,23.7%,-0.8%,3/31/2012,Single Family Residential,"Chicago, IL metro area"
0.979975561,0.3%,-0.1%,4914,29.4%,4.2%,15727,-6.5%,-26.2%,60,-5,-6,$320K,3.2%,-3.0%,6041,3.8%,-16.2%,3/31/2012,Single Family Residential,"Los Angeles, CA metro area"
0.936212304,0.6%,-1.1%,414,38.5%,8.9%,3948,-3.1%,69.4%,141,9,8,$181K,0.7%,-4.6%,1134,22.5%,65.1%,3/31/2012,Single Family Residential,"Philadelphia, PA metro area"
0.982799471,0.5%,1.0%,2252,29.5%,10.1%,6944,-3.0%,-33.1%,67,-6,-18,$300K,4.1%,-3.2%,3186,23.3%,-2.4%,3/31/2012,Single Family Residential,"Seattle, WA metro area"
0.976704539,0.2%,0.0%,2837,26.0%,-3.7%,12189,7.4%,-17.3%,65,-13,-7,$346K,8.1%,6.5%,5873,45.9%,1.6%,3/31/2012,Single Family Residential,"Washington, DC metro area"
0.985907481,1.4%,1.2%,422,29.1%,-5.0%,1145,1.8%,-29.3%,39,-16,-6,$414K,16.7%,6.2%,638,31.0%,-4.3%,3/31/2012,Single Family Residential,"Seattle, WA"
0.971263587,0.2%,0.6%,3237,26.5%,20.5%,15035,-4.8%,-6.7%,93,-1,3,$392K,10.5%,1.8%,3264,-17.4%,-11.2%,6/30/2012,Single Family Residential,"Boston, MA metro area"
0.954469763,0.3%,1.0%,5405,12.9%,16.3%,33742,-0.6%,-10.5%,94,-10,-14,$195K,10.2%,3.2%,7681,-3.5%,3.5%,6/30/2012,Single Family Residential,"Chicago, IL metro area"
0.989452480,0.4%,1.0%,5599,3.6%,12.2%,13226,-5.9%,-40.0%,41,-5,-11,$340K,3.0%,1.5%,5676,-4.4%,-16.1%,6/30/2012,Single Family Residential,"Los Angeles, CA metro area"
0.952049706,-0.1%,0.2%,630,1.4%,11.5%,3979,-2.5%,41.6%,66,-5,-33,$215K,7.5%,-7.9%,813,-14.1%,30.9%,6/30/2012,Single Family Residential,"Philadelphia, PA metro area"
0.993419405,0.2%,1.7%,2873,4.9%,12.4%,7147,1.4%,-34.9%,26,-6,-21,$342K,5.9%,8.6%,3316,-6.4%,-1.7%,6/30/2012,Single Family Residential,"Seattle, WA metro area"
0.983225394,0.1%,0.6%,4379,9.1%,2.1%,12535,-1.6%,-22.1%,32,1,-6,$405K,3.9%,10.6%,4524,-11.4%,-8.7%,6/30/2012,Single Family Residential,"Washington, DC metro area"
0.998692618,0.3%,2.5%,596,3.5%,8.4%,1226,2.7%,-33.8%,11,-3,-15,$425K,-0.1%,6.6%,685,-6.9%,-2.7%,6/30/2012,Single Family Residential,"Seattle, WA"
1.011279541,0.4%,2.1%,603,19.4%,21.6%,789,5.1%,-31.0%,10,-1,-9,$430K,-2.3%,3.3%,766,10.9%,17.5%,4/30/2013,Single Family Residential,"Seattle, WA"
0.994115748,0.2%,1.6%,21,-12.5%,31.3%,14,-22.2%,40.0%,13,-1,-9.5,$515K,-16.2%,-11.7%,26,-16.1%,23.8%,11/30/2013,Single Family Residential,"Seattle, WA - Alki Point"
0.975973485,-3.2%,-1.2%,26,4.0%,-21.2%,14,-30.0%,-22.2%,23,-9,1,$350K,0.0%,33.6%,22,-33.3%,-12.0%,11/30/2013,Single Family Residential,"Seattle, WA - Arbor Heights"
1.015528418,-1.0%,0.1%,105,-10.3%,7.1%,20,-37.5%,-33.3%,7,0,1,$475K,-2.9%,5.2%,95,-16.7%,-12.0%,11/30/2013,Single Family Residential,"Seattle, WA - Ballard"
0.976500661,-0.8%,-3.2%,21,31.3%,133.3%,8,-27.3%,33.3%,21,-3,-30,$412K,5.8%,23.0%,21,-8.7%,110.0%,11/30/2013,Single Family Residential,"Seattle, WA - Bitter Lake"
1.009155239,0.1%,2.5%,33,-8.3%,3.1%,8,-27.3%,-42.9%,9,0.5,-31.5,$628K,2.7%,11.5%,26,-18.8%,23.8%,11/30/2013,Single Family Residential,"Seattle, WA - North Beach / Blue Ridge"
0.989124658,-1.2%,0.9%,23,-4.2%,27.8%,13,-31.6%,-13.3%,18.5,7,-32,$495K,-2.9%,7.0%,28,-9.7%,47.4%,11/30/2013,Single Family Residential,"Seattle, WA - Broadview"
1.021074707,-1.4%,-0.8%,13,-38.1%,0.0%,1,-75.0%,-80.0%,6,-1,-3,$540K,0.0%,-9.2%,13,-23.5%,-38.1%,11/30/2013,Single Family Residential,"Seattle, WA - Bryant"
1.003073015,-0.1%,-1.6%,31,-11.4%,106.7%,7,0.0%,-46.2%,15,-6,-33,$417K,0.0%,28.3%,14,-48.1%,-50.0%,11/30/2013,Single Family Residential,"Seattle, WA - Columbia City"
0.989291025,-1.7%,-1.4%,14,-17.6%,27.3%,5,-50.0%,0.0%,9.5,2.5,-4.5,$405K,-6.9%,14.1%,14,-22.2%,16.7%,11/30/2013,Single Family Residential,"Seattle, WA - Crown Hill"
0.995477617,-0.4%,0.5%,108,-10.7%,31.7%,80,-2.4%,25.0%,18,1,-15,$321K,3.5%,32.8%,121,-12.9%,19.8%,11/30/2013,Single Family Residential,"Seattle, WA - Delridge"
1.004349249,2.1%,0.9%,3,-25.0%,0.0%,,,,25,-4.5,16,$550K,10.1%,10.0%,,,,11/30/2013,Single Family Residential,"Seattle, WA - Eastlake"
0.979889387,-1.2%,0.1%,25,4.2%,-16.7%,19,-13.6%,11.8%,10,1,-3.5,$556K,-9.3%,15.8%,28,-9.7%,7.7%,11/30/2013,Single Family Residential,"Seattle, WA - Fauntleroy"
1.023876771,1.3%,1.2%,13,-27.8%,-35.0%,7,0.0%,-12.5%,9,-1.5,2,$533K,1.2%,8.2%,17,-10.5%,-37.0%,11/30/2013,Single Family Residential,"Seattle, WA - Fremont"
1.018149787,0.6%,0.7%,37,-11.9%,164.3%,4,-55.6%,-50.0%,8,-11,-16,$630K,2.9%,23.3%,26,-23.5%,62.5%,11/30/2013,Single Family Residential,"Seattle, WA - Green Lake"
1.014108858,-0.7%,-0.1%,55,-21.4%,3.8%,19,-34.5%,-20.8%,8.5,0.5,-3.5,$433K,0.4%,12.1%,59,-22.4%,15.7%,11/30/2013,Single Family Residential,"Seattle, WA - Greenwood"
0.992541701,-1.0%,-0.9%,26,-7.1%,8.3%,15,-11.8%,87.5%,29,15,-9,$322K,-2.0%,-1.4%,22,-15.4%,57.1%,11/30/2013,Single Family Residential,"Seattle, WA - Haller Lake"
1.001499268,-1.5%,0.2%,83,3.8%,7.8%,36,-26.5%,2.9%,13,5,-7,$415K,-2.5%,16.9%,76,-28.3%,-11.6%,11/30/2013,Single Family Residential,"Seattle, WA - Lake City"
1.010158703,1.7%,5.3%,24,-7.7%,33.3%,13,-31.6%,-7.1%,20,1,-1.5,$673K,8.9%,17.0%,23,-23.3%,15.0%,11/30/2013,Single Family Residential,"Seattle, WA - Leschi"
1.010225285,-2.9%,3.1%,4,-20.0%,0.0%,1,0.0%,-50.0%,102.5,26.5,88.5,"$1,364K",25.7%,199.7%,1,0.0%,-50.0%,11/30/2013,Single Family Residential,"Seattle, WA - Lower Queen Anne"
0.961101975,-0.4%,1.5%,19,-24.0%,-24.0%,12,-25.0%,-50.0%,30,-19,-30,"$1,520K",9.4%,11.4%,15,-28.6%,-42.3%,11/30/2013,Single Family Residential,"Seattle, WA - Madison Park"
0.999720361,-0.3%,2.7%,11,-15.4%,-38.9%,8,-33.3%,-20.0%,9.5,3,-48,$658K,9.7%,4.1%,17,13.3%,41.7%,11/30/2013,Single Family Residential,"Seattle, WA - Madrona"
0.995555516,-0.4%,1.0%,76,-15.6%,8.6%,45,-16.7%,-8.2%,8,-1,-12,$689K,3.6%,20.6%,86,-18.9%,43.3%,11/30/2013,Single Family Residential,"Seattle, WA - Magnolia"
1.006938261,0.1%,1.0%,36,-7.7%,44.0%,8,-20.0%,-20.0%,9,0.5,1,$482K,0.1%,8.3%,28,-17.6%,7.7%,11/30/2013,Single Family Residential,"Seattle, WA - Maple Leaf"
1.012691077,-1.9%,2.3%,29,-9.4%,38.1%,8,-27.3%,-20.0%,14,3,-6,$485K,-0.5%,4.3%,22,-24.1%,-15.4%,11/30/2013,Single Family Residential,"Seattle, WA - Matthews Beach"
0.980104888,-6.5%,-2.5%,12,50.0%,-20.0%,2,-60.0%,-33.3%,20.5,13.5,9.5,$378K,-13.8%,4.8%,12,-14.3%,-14.3%,11/30/2013,Single Family Residential,"Seattle, WA - Meadowbrook"
1.021510453,0.4%,5.1%,23,0.0%,35.3%,6,-57.1%,20.0%,11,0,-5,$780K,0.6%,9.1%,25,-19.4%,56.3%,11/30/2013,Single Family Residential,"Seattle, WA - Montlake"
0.996442039,0.2%,-2.4%,25,-19.4%,25.0%,17,-10.5%,-19.0%,19,1,12.5,$555K,11.0%,-3.7%,38,5.6%,2.7%,11/30/2013,Single Family Residential,"Seattle, WA - Mount Baker"
1.013582253,-0.2%,2.5%,41,-8.9%,-10.9%,24,14.3%,-17.2%,9,0,-12,$484K,4.2%,5.7%,42,-14.3%,-19.2%,11/30/2013,Single Family Residential,"Seattle, WA - North Admiral"
1.004324071,-1.0%,0.6%,64,-8.6%,-5.9%,51,-23.9%,-5.6%,9,0,-23,$316K,-5.9%,6.4%,71,-31.1%,9.2%,11/30/2013,Single Family Residential,"Seattle, WA - Beacon Hill"
0.981618213,-0.5%,2.4%,18,-5.3%,28.6%,7,0.0%,-22.2%,36.5,24.5,-14.5,$451K,-1.0%,-31.8%,8,-57.9%,-20.0%,1/31/2014,Single Family Residential,"Seattle, WA - Alki Point"
0.972848750,-0.3%,-1.9%,18,-30.8%,-14.3%,10,-9.1%,-9.1%,50,17.5,17,$378K,10.9%,30.3%,15,15.4%,-11.8%,1/31/2014,Single Family Residential,"Seattle, WA - Arbor Heights"
1.013293521,0.0%,0.9%,72,-28.7%,-14.3%,25,31.6%,127.3%,9.5,1.5,2.5,$474K,-2.9%,-0.8%,63,-3.1%,34.0%,1/31/2014,Single Family Residential,"Seattle, WA - Ballard"
0.980173899,0.1%,-0.7%,18,0.0%,80.0%,2,-50.0%,-71.4%,20,-1.5,-19,$416K,-3.8%,47.1%,10,-37.5%,25.0%,1/31/2014,Single Family Residential,"Seattle, WA - Bitter Lake"
0.987651359,-1.9%,1.0%,14,-36.4%,-30.0%,5,0.0%,-50.0%,21,13,-19.5,$647K,7.6%,8.3%,11,-8.3%,-8.3%,1/31/2014,Single Family Residential,"Seattle, WA - North Beach / Blue Ridge"
0.979838891,0.4%,-2.7%,21,-22.2%,10.5%,10,11.1%,-37.5%,24,1.5,1,$500K,-4.8%,15.3%,16,-5.9%,45.5%,1/31/2014,Single Family Residential,"Seattle, WA - Broadview"
0.987443532,-2.9%,-3.9%,11,-15.4%,-26.7%,3,,200.0%,22,15,14,$515K,2.0%,0.0%,6,0.0%,-40.0%,1/31/2014,Single Family Residential,"Seattle, WA - Bryant"
0.997571549,-0.1%,-1.4%,20,-23.1%,66.7%,7,0.0%,-53.3%,14,-7,-3.5,$438K,1.1%,26.1%,18,0.0%,12.5%,1/31/2014,Single Family Residential,"Seattle, WA - Columbia City"
0.970288758,-1.3%,-2.3%,7,-22.2%,-36.4%,3,0.0%,-40.0%,16,0,3,$398K,-2.9%,15.4%,6,-14.3%,-45.5%,1/31/2014,Single Family Residential,"Seattle, WA - Crown Hill"
0.992350823,-0.2%,1.2%,83,-19.4%,-9.8%,63,-8.7%,26.0%,35,13,1,$285K,-1.7%,8.0%,84,-13.4%,13.5%,1/31/2014,Single Family Residential,"Seattle, WA - Delridge"
0.983637146,0.2%,1.1%,21,-12.5%,-4.5%,8,-33.3%,-50.0%,33,21.5,-28,$415K,-8.6%,2.5%,11,-15.4%,-31.3%,1/31/2014,Single Family Residential,"Seattle, WA - Fauntleroy"
1.014191770,-0.8%,2.2%,12,20.0%,-45.5%,2,0.0%,0.0%,20,4.5,5.5,$618K,7.8%,26.2%,6,-50.0%,-33.3%,1/31/2014,Single Family Residential,"Seattle, WA - Fremont"
1.016402314,-0.2%,2.9%,22,-29.0%,29.4%,6,20.0%,500.0%,8.5,-0.5,-11.5,$592K,-6.0%,18.5%,19,18.8%,90.0%,1/31/2014,Single Family Residential,"Seattle, WA - Green Lake"
1.009155336,-0.5%,1.0%,44,-10.2%,4.8%,8,-27.3%,-38.5%,23,13,12,$438K,-8.3%,12.8%,25,-30.6%,-24.2%,1/31/2014,Single Family Residential,"Seattle, WA - Greenwood"
0.990972444,0.2%,-0.9%,24,9.1%,50.0%,10,0.0%,11.1%,26.5,-2.5,-9,$346K,5.3%,10.4%,18,5.9%,80.0%,1/31/2014,Single Family Residential,"Seattle, WA - Haller Lake"
1.003030873,0.1%,0.8%,70,-12.5%,12.9%,23,-11.5%,-25.8%,17.5,2,-11,$401K,-1.2%,11.3%,38,-22.4%,-25.5%,1/31/2014,Single Family Residential,"Seattle, WA - Lake City"
0.996432669,-0.6%,5.6%,20,-23.1%,42.9%,11,10.0%,-26.7%,34.5,12.5,5.5,$786K,12.7%,16.3%,14,-17.6%,27.3%,1/31/2014,Single Family Residential,"Seattle, WA - Leschi"
1,0.5%,1.6%,1,-50.0%,-66.7%,,,,3,-36.5,-11,"$1,795K",24.7%,259.0%,1,0.0%,-50.0%,1/31/2014,Single Family Residential,"Seattle, WA - Lower Queen Anne"
0.975267677,1.0%,2.7%,14,-17.6%,-30.0%,6,-33.3%,-75.0%,25.5,-1.5,-12.5,"$1,663K",2.0%,23.4%,3,-40.0%,-82.4%,1/31/2014,Single Family Residential,"Seattle, WA - Madison Park"
1.018193671,0.6%,4.8%,9,-30.8%,-40.0%,9,28.6%,80.0%,7,0,-57,$735K,0.0%,15.7%,10,-16.7%,100.0%,1/31/2014,Single Family Residential,"Seattle, WA - Madrona"
0.984305361,-0.8%,-0.3%,56,-27.3%,-9.7%,40,5.3%,8.1%,21.5,11.5,-3,$677K,1.8%,17.0%,43,-10.4%,4.9%,1/31/2014,Single Family Residential,"Seattle, WA - Magnolia"
0.998792339,-0.6%,0.4%,21,-25.0%,40.0%,7,0.0%,-12.5%,8,0,1,$450K,-1.4%,10.8%,17,-19.0%,41.7%,1/31/2014,Single Family Residential,"Seattle, WA - Maple Leaf"
1.001417971,-1.2%,2.1%,24,0.0%,20.0%,8,33.3%,33.3%,17.5,10.5,-14.5,$511K,1.1%,13.4%,15,-11.8%,36.4%,1/31/2014,Single Family Residential,"Seattle, WA - Matthews Beach"
